domaine;nom;niche;ville;commune;dept;design;anciennete;non_responsif;sans_https;techno;signaux_design
lavillasaintmarc.com;La Villa Saint-Marc;Beaute & Bien-etre;Rouen;;76;42;3;oui;non;webacappella 4.6.18 free (win);doctype ancien | non responsive | document.write | pas de @media | pas de flex/grid
fleur-d-oranger.com;Fleur d'oranger;Beaute & Bien-etre;Le Havre;;76;28;6;oui;non;ionos mywebsite;balises <font> (2) | non responsive | pas de variables CSS
bouilloncapitole.fr;Le Bouillon Capitole;Restauration;Toulouse;;31;42;6;oui;non;—;<center> | non responsive | pas de @media | pas de flex/grid | pas de variables CSS
cortonbeachcortonkayakcassis.com;Corton Beach;Restauration;Marseille;;13;49;3;non;non;—;layout en tableaux (5) | balises <font> (18) | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
gindalle.fr;Gin Dalle;Restauration;Toulouse;;31;39;6;oui;non;—;layout en tableaux (4) | bgcolor= | sans doctype | non responsive
brasserie-lacbourget.fr;Brasserie du Lac;Restauration;Chambery;Le Bourget-du-Lac (73370);73;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
crocknpizz.fr;C'rock n'pizz;Restauration;Lyon;;69;37;6;oui;non;—;layout en tableaux (95) | <center> | non responsive | <br> en masse
capnell.com;Cap Nell;Restauration;Rochefort;;17;44;5;oui;non;—;doctype ancien | non responsive | images .gif | pas de @media | pas de flex/grid | pas de variables CSS
huguette-et-henri.fr;Huguette & Henri;Restauration;Paris;;75;41;3;non;non;lscms;balises <font> (2) | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (564B) | aucun radius/ombre
ma-carrosserie-essey.fr;Ma carrosserie;Automobile;Nancy;Essey-les-Nancy (54270);54;22;2;non;non;drupal 9 (https://www.drupal.org);pas de @media | pas de flex/grid | pas de variables CSS
carrosserie-tomatis.fr;Tomatis;Automobile;Marseille;;13;22;2;non;non;drupal 9 (https://www.drupal.org);pas de @media | pas de flex/grid | pas de variables CSS
garage-datez.fr;Garage Datez;Automobile;Nancy;Faulx (54760);54;20;5;non;non;wordpress 5.2.26;layout en tableaux (11) | <br> en masse | pas de variables CSS
garage-aymarvigier.fr;Garage Aymar-Vigier;Automobile;Clermont-Ferrand;Pont-du-Chateau (63430);63;20;3;oui;non;webacappellafusion 4.1.2 sp3 classic;sans doctype | non responsive
aden-44.fr;Aden;Automobile;Nantes;;44;32;3;oui;non;wp rocket 3.23.1;non responsive | pas de @media | pas de variables CSS
etsdeloute.com;ETS Deloute;Automobile;Aix-en-Provence;Velaux (13880);13;20;2;non;non;masterslider 3.2.14 - responsive touch image slider;images .gif | pas de @media | pas de variables CSS
mecamoto17.com;Meca Moto 17;Automobile;Rochefort;Tonnay-Charente (17430);17;17;0;non;non;wix.com website builder;pas de @media | pas de variables CSS
clicadom.info;Clic@Dom;Services de proximite;Toulouse;Ramonville-Saint-Agne (31520);31;42;5;oui;oui;webacappella 4.6.13  professional (win) #45b8;doctype ancien | non responsive | document.write | pas de @media | pas de flex/grid
autourducycle.fr;Autour du Cycle;Services de proximite;Paris;La Varenne Saint Hilaire (94210);75;29;6;oui;non;—;balises <font> (11) | non responsive | police vintage
barcavelos.fr;Barca Vélo;Services de proximite;Perpignan;Bompas (66430);66;42;3;oui;non;—;non responsive | document.write | pas de @media | pas de flex/grid | police vintage
ateliers-savary.com;Ateliers Savary;Services de proximite;Pau;;64;42;3;oui;non;webacappella 4.6.27  personal (win) #5a37;doctype ancien | non responsive | document.write | pas de @media | pas de flex/grid
pc-net.fr;Le Comptoir de PC-NET;Services de proximite;Saint-Etienne;Veauche (42340);42;37;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | aucun radius/ombre
lambert-licorni.fr;Lambert Licorni;Artisanat & BTP;Nancy;;54;56;6;oui;non;—;balises <font> (16) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
lav29.fr;Lav'29;Services de proximite;Brest;Landerneau (29800);29;37;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | aucun radius/ombre
cs2m.fr;CS2M - Cordonnerie Serrurerie;Services de proximite;Toulouse;;31;34;5;oui;non;—;non responsive | pas de @media | pas de flex/grid
