site_web;nom_restaurant;score_design;score_anciennete;non_responsive;sans_https;techno;copyright;html_s;css_s;tech_s;signaux_html;signaux_css
101express.fr;Le 101 Express;32;5;oui;oui;prestashop;2046;15;17;0;non responsive;pas de @media | pas de variables CSS
labohemia.fr;La Bohémia;30;8;oui;oui;—;—;30;0;0;balises <font> (2) | sans doctype | non responsive;—
latabledestan.com;À la Table du Bon Roi Stanislas;30;8;oui;oui;—;—;30;0;0;frameset | sans doctype | non responsive;—
restaurantmogador.free.fr;Mogador;29;10;oui;oui;editplus;2012;29;0;0;<center> | bgcolor= | doctype ancien | non responsive;—
tanguy-crepes.fr;Tanguy;29;8;oui;oui;—;—;29;0;0;frameset | doctype ancien | non responsive;—
leptitbouchon.fr;Le P'tit Bouchon;29;8;oui;oui;—;—;29;0;0;frameset | doctype ancien | non responsive;—
lacasa-pizza.fr;La Casa;29;6;oui;non;—;2026;25;4;0;balises <font> (35) | non responsive;police vintage
annadata.fr;Annadata;29;6;oui;non;—;2098;25;4;0;balises <font> (10) | non responsive;police vintage
suzanne-montmartre.fr;Suzanne;29;6;oui;non;—;2026;25;4;0;balises <font> (13) | non responsive;police vintage
ptitbistrot.voila.net;Bar Restaurant Le P'tit Bistrot;29;8;oui;oui;—;—;29;0;0;frameset | doctype ancien | non responsive;—
chezwitt.com;Chez Witt;29;8;oui;oui;—;—;29;0;0;frameset | doctype ancien | non responsive;—
leskorrigansduvidourle.com;Les Korrigans du Vidourle;29;8;oui;oui;—;—;29;0;0;frameset | doctype ancien | non responsive;—
angelparadies.guefel.com;Güfel;29;8;non;non;wordpress 4.9.21;2016;13;8;8;balises <font> (2) | <br> en masse | WordPress 4;pas de flex/grid | pas de variables CSS
sushi-nagoya.fr;Nagoya Sushi;28;8;oui;oui;—;2022;20;8;0;bgcolor= | non responsive;pas de flex/grid | pas de variables CSS
villamimouna.fr;Villa Mimouna;28;6;oui;non;—;2086;28;0;0;bgcolor= | doctype ancien | non responsive | document.write;—
restaurantlesirocco.fr;Le Sirocco;27;6;non;non;wordpress 4.9.30;2040;5;14;8;bgcolor= | WordPress 4;pas de @media
marinsol.fr;Marin Sol;27;6;oui;non;joomla! - open source content management;2096;15;0;12;non responsive | Joomla;—
restaurant-cantina.fr;Cantina;26;5;oui;oui;—;—;15;11;0;non responsive;pas de flex/grid | pas de variables CSS | aucun radius/ombre
denboerenweg.free.fr;Estaminet den Boeren Weg;25;8;oui;oui;namo webeditor v5.0;—;25;0;0;bgcolor= | sans doctype | non responsive;—
african-evasion-pontault.fr;African Evasion;25;8;oui;non;—;2018;20;5;0;<center> | non responsive;pas de flex/grid
pizzerialepacha.fr;Le Pacha;25;8;oui;non;—;2020;20;5;0;<center> | non responsive;pas de flex/grid
obuffet-angouleme.fr;O' Buffet;25;8;oui;oui;—;—;25;0;0;frameset | non responsive;—
restaurant-lechelle.fr;L'Echelle;25;6;oui;non;—;2026;25;0;0;balises <font> (2) | non responsive;—
adelita.fr;Adelita;25;6;oui;non;—;2098;25;0;0;balises <font> (51) | non responsive;—
restaurant-le-saprien.fr;Le Saprien;25;6;oui;non;—;—;25;0;0;<center> | sans doctype | non responsive;—
manhattanpizza-versailles.com;Pizzeria Manathan;25;8;oui;non;—;2017;20;5;0;<center> | non responsive;pas de flex/grid
le-dominion.fr;Le Dominion;24;8;oui;non;—;2019;24;0;0;<center> | doctype ancien | non responsive;—
lemarquee.fr;Le Marquee;24;6;oui;non;—;2024;24;0;0;bgcolor= | doctype ancien | non responsive;—
restaurantlacourdulouvre.fr;La Cour du Louvre;24;5;oui;oui;—;—;24;0;0;sans doctype | non responsive | document.write;—
vertmont.fr;Auberge du Vert Mont;23;8;oui;non;wordpress 4.9.27;2019;15;0;8;non responsive | WordPress 4;—
le-bistrot-liffre.fr;Le Bistrot;22;7;non;oui;wordpress 4.9.30;2018;0;14;8;WordPress 4;pas de @media
lareserveangers.fr;La Réserve;22;6;non;non;joomla! - open source content management;2026;10;0;12;balises <font> (2) | Joomla;—
lacavesaintleo.fr;La Cave à Bière;22;6;non;non;joomla! - open source content management;2082;10;0;12;balises <font> (64) | Joomla;—
toyo79.fr;Toyo;22;5;oui;oui;2018.1.0.386;2090;19;3;0;non responsive | document.write;pas de variables CSS
l-iris.fr;L'Iris Restaurant;22;5;non;non;—;2003;14;8;0;balises <font> (24) | doctype ancien;pas de flex/grid | pas de variables CSS
pizza-dimario.fr;Pizza Di Mario;20;8;oui;non;—;2019;20;0;0;<center> | non responsive;—
le-bistrot-des-jardins.fr;Le Bistrot des Jardins;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
pastapazza.fr;Pasta Pazza;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
pizzaliz.fr;Pizzaliz;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
restaurant-petit-baigneur.fr;Le Petit Baigneur;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
berberhygge.fr;BerbèrHygge;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
steinwasen.free.fr;Auberge du Steinwasen;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
malaterre.fr;Auberge de Malaterre;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
lapizz-bordeaux.fr;La Pizz;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
permayou.haut-bearn.fr;Le Permayou;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
oustaldemontibel.free.fr;L'Oustal de Montibel;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
alfreddemareil.fr;Alfred;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
restaurant-lebercail.fr;Le Bercail;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
lanetetu.fr;L'Âne Têtu;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
lepetitgraindesel.fr;Le petit grain de sel;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
tourisme.excenevex.fr;La Ginguette de la Plage;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
crous-versailles.fr;Restaurant universitaire;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
lafermebertrand.fr;ferme Bertrand;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
sushithidaily.fr;Thi Daily Coffret du gourmet;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
relaisdelaloire.fr;Relais de la Loire;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
lalanterna-lons.fr;La Lanterna;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
nikko-lyon.fr;Nikko;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
restaurant-larchestrate.fr;L'Archestrate;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
restaurant-michel-13.fr;Chez Michel;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
letoiledargent.fr;L'Étoile d'Argent;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
moncommerce35.fr;La Cour du Temple;20;5;oui;oui;—;—;20;0;0;sans doctype | non responsive;—
camardiere.free.fr;Ferme de la Camardière;19;7;oui;oui;—;1999;19;0;0;doctype ancien | non responsive;—
pierre.seve.free.fr;L'Épicerie;19;7;oui;oui;—;2020;19;0;0;doctype ancien | non responsive;—
sakurasan.fr;Sakura san;19;7;oui;oui;—;1999;19;0;0;doctype ancien | non responsive;—
chezpippo.fr;Chez Pippo;19;5;oui;oui;—;—;19;0;0;doctype ancien | non responsive;—
aux3gourmandsduchateau.fr;Aux 3 Gourmands du Château;19;5;oui;non;—;1999;19;0;0;doctype ancien | non responsive;—
lemouflon-laplagne.fr;Le Mouflon;19;5;oui;oui;—;—;19;0;0;doctype ancien | non responsive;—
rusidda.fr;Rusidda;19;5;oui;oui;—;—;19;0;0;doctype ancien | non responsive;—
legrainderiz.free.fr;Le grain de riz;19;5;oui;oui;—;—;19;0;0;doctype ancien | non responsive;—
hotellarenaissance.fr;La Renaissance Saint-Ferréol;19;5;oui;non;—;1999;19;0;0;doctype ancien | non responsive;—
fleursdethym.fr;Fleurs de Thym;18;5;oui;non;—;1999;15;3;0;non responsive;pas de variables CSS
closducher.fr;Côté Jardin;18;5;non;non;joomla! - open source content management;2017;3;3;12;images .gif | Joomla;pas de variables CSS
sidon.libanais-tours.fr;Ô Sidon;18;5;non;non;joomla! - open source content management;2017;3;3;12;images .gif | Joomla;pas de variables CSS
relaisdugois.com;Le Relais du Gois;18;7;oui;oui;—;2018;15;3;0;non responsive;pas de variables CSS
albatros-10.com;L'Albatros;18;7;oui;oui;—;1999;15;3;0;non responsive;aucun radius/ombre
etcikitchen.com;Etci Kitchen;17;8;non;oui;joomla! - open source content management;2023;5;0;12;<center> | Joomla;—
bagatellelerestaurant.fr;Les Jardins de Bagatelle;16;8;non;non;wordpress 4.9.30;2020;5;3;8;<center> | WordPress 4;pas de variables CSS
loubistrot.fr;Lou Bistrot;15;7;oui;oui;—;2015;15;0;0;non responsive;—
baraiode.fr;Bar à Iode - Charonne;15;7;oui;oui;—;2017;15;0;0;non responsive;—
airedesverites-montlucon.fr;Aire des Vérités;15;5;oui;non;—;2021;15;0;0;non responsive;—
lesterrassesdulac.fr;Les Terrasses du Lac;15;5;oui;oui;—;—;15;0;0;non responsive;—
relais-des-vieilles-postes.fr;Le Relais des Vieilles Postes;15;5;oui;oui;—;—;15;0;0;non responsive;—
cote-piste.fr;Côté piste;15;5;oui;non;"elementor 3.31.3; features: additional_custom_breakpoints, e";2018;15;0;0;non responsive;—
restaurant-harmonie.fr;L'Harmonie;15;5;oui;oui;—;—;15;0;0;non responsive;—
osakasushi78.fr;Osaka;15;5;oui;oui;—;—;15;0;0;non responsive;—
restaurantshanghai.free.fr;Restaurant Shanghai;15;5;oui;oui;—;—;15;0;0;non responsive;—
akamisushi.fr;Akami Sushi;15;5;oui;oui;—;—;15;0;0;non responsive;—
alapart.fr;À La Part;15;5;oui;non;—;2021;15;0;0;non responsive;—
asmorfia.fr;à Smorfia;15;5;oui;oui;—;2022;15;0;0;non responsive;—
leclosdelecuyer.fr;Le Clos de l'Écuyer;15;5;oui;oui;—;2025;15;0;0;non responsive;—
restaurantmarcel.fr;Marcel;15;5;oui;oui;—;—;15;0;0;non responsive;—
tienhang.tien-hiang.fr;Tien Hiang;15;5;oui;non;—;2020;15;0;0;non responsive;—
restaurant-lepanoramic.fr;Le Panoramic;15;5;oui;non;—;2016;15;0;0;non responsive;—
schwartzsdeli.fr;Schwartz's Deli;15;5;oui;non;—;2009;15;0;0;non responsive;—
lecabanon-arcachon.fr;Le Cabanon;15;5;oui;oui;—;—;15;0;0;non responsive;—
agrology.fr;Agrology;15;5;oui;non;—;1999;15;0;0;non responsive;—
anatolie-durum.fr;Anatolie Dürüm;14;10;non;oui;wordpress 5.4.20;2020;10;0;4;balises <font> (1) | WordPress 5;—
restaurant-la-plume.fr;La Plume;14;6;non;non;wordpress 5.9.15;2051;10;0;4;balises <font> (1) | WordPress 5;—
restaurant-orchidee-07.fr;L'Orchidée;13;5;non;non;—;2021;10;3;0;balises <font> (13);pas de variables CSS
restaurantle1200.fr;Le 1200;12;5;non;non;joomla! - open source content management;2021;0;0;12;Joomla;—
camping-laperle.fr;La Perle;12;5;non;non;joomla! - open source content management;1990;0;0;12;Joomla;—
rajmahal.fr;Raj Mahal;11;7;non;oui;wordpress 4.9.3;2017;0;3;8;WordPress 4;pas de variables CSS
sushifirst.fr;Sushi First;10;5;non;non;—;2020;5;5;0;<center>;pas de flex/grid
lepouillerot.fr;Le Pouillerot;10;5;non;non;wordpress 5.8.12;2021;3;3;4;images .gif | WordPress 5;pas de variables CSS
superpizza91.fr;Super Pizza;10;5;non;non;—;2021;5;5;0;<center>;pas de flex/grid
sushicreation.fr;Sushi Création;10;5;non;non;—;2020;10;0;0;balises <font> (1);—
pizzashow.fr;Pizza Show Plus;10;5;non;non;—;2020;5;5;0;<center>;pas de flex/grid
souber.fr;l'etaP;9;5;non;non;wordpress 5.9.15;2021;0;5;4;WordPress 5;pas de flex/grid
phuket.cafelists.com;Phuket;9;8;non;non;wordpress 5.1;2019;5;0;4;<center> | WordPress 5;—
restaurant-thezan.fr;La Carte Timbrée;8;5;non;non;wordpress 4.9.30;2018;0;0;8;WordPress 4;—
pizzeriailsoleditalia.fr;Il Sole d'Italia;8;5;non;non;wordpress 4.7.34;2016;0;0;8;WordPress 4;—
la-fourchette-de-leonie.fr;La Fourchette de Léonie;8;5;non;non;wordpress 5.7.2;2021;4;0;4;document.write | WordPress 5;—
al-ritrovo.fr;Al Ritrovo;8;5;non;non;—;2000;5;3;0;<center>;pas de variables CSS
les-frigos.fr;La cantine de l'aiguillage;8;5;non;non;wordpress 7.0.3;2021;5;3;0;<center>;pas de variables CSS
lentre-mers.fr;L’entre-mers;5;5;non;non;—;2020;5;0;0;<center>;—
lhuitredoc.fr;Les Jardins d’Oc;5;5;non;non;—;2021;5;0;0;<center>;—
restaurantlapetiteardoise.fr;La Petite Ardoise;5;5;non;non;one.com web editor;2016;5;0;0;bgcolor=;—
leverbalon.fr;Le Verbalon;4;5;non;non;wordpress 5.9.13;2019;0;0;4;WordPress 5;—
ilpinocchio.fr;Il Pinocchio;4;5;non;non;wordpress 5.4.20;2019;0;0;4;WordPress 5;—
albatros-restaurant.fr;L'Albatros;4;5;non;non;wordpress 5.8.3;2021;0;0;4;WordPress 5;—
restaurant-iledor.fr;L'île d'or;4;5;non;non;wordpress 5.7.16;2021;0;0;4;WordPress 5;—
odeslys-restaurant.fr;Ô dés lys;4;5;non;non;wordpress 5.4.20;2017;0;0;4;WordPress 5;—
restaurant-chez-marguerite.fr;Marguerite;4;5;non;non;wordpress 5.5.19;2021;0;0;4;WordPress 5;—
oishi11.fr;Oishi;4;5;non;non;wordpress 5.2.25;2013;0;0;4;WordPress 5;—
manekineko76.fr;Maneki Neko;4;5;non;non;wordpress 5.3.22;2017;0;0;4;WordPress 5;—
polo-auteuil.fr;Le Polo;0;5;oui;oui;—;—;0;0;0;—;—
latabledesfrangins.fr;La table des frangins;0;5;oui;oui;—;—;0;0;0;—;—
parcelles-paris.fr;Parcelles;0;5;oui;oui;—;—;0;0;0;—;—
restaurant-lacantina-paris.fr;La Cantina;0;5;oui;oui;—;—;0;0;0;—;—
restaurantauxcocottes.fr;Aux Cocottes;0;5;oui;oui;—;—;0;0;0;—;—
lacreperieduroc.fr;La Crêperie du Roc;0;5;oui;oui;—;—;0;0;0;—;—
restaurantlacitrouille.fr;La Citrouille;0;5;oui;oui;—;—;0;0;0;—;—
restaurant-legalion.fr;Le Galion;0;5;oui;oui;—;—;0;0;0;—;—
terrabaravins.fr;Terra bar à vins;0;5;oui;oui;—;—;0;0;0;—;—
yolo-suresnes.fr;YOLO;0;5;oui;oui;—;—;0;0;0;—;—
