site_web;nom;region;dept;cp;design;tourisme;anciennete;non_responsif;sans_https;techno;signaux_design
bien-nang.onataste.fr;Bien Nang;Ile-de-France;94;94200;15;4;3;oui;non;—;non responsive
lacuisinedumarche95.fr;La Cuisine du marché;Ile-de-France;95;95320;15;4;3;oui;non;—;non responsive
leromarin-etampes.fr;Le Romarin;Ile-de-France;91;91150;15;4;3;oui;non;—;non responsive
sushiseivincennes.blogspot.com;Sushi Sei;Ile-de-France;94;94300;15;4;3;oui;non;—;non responsive
anatolie-durum.fr;Anatolie Dürüm;Ile-de-France;75;75005;14;5;10;non;oui;wordpress 5.4.20;balises <font> (1) | WordPress 5
vedas-restaurant.com;Vedas;Ile-de-France;78;78340;14;5;3;oui;non;—;pas de @media
andamanthai.fr;Andaman Thai;Ile-de-France;92;92210;14;4;0;non;non;"elementor 4.2.1; features: additional_custom_breakpoints; se";pas de @media
500degres-pizza.com;500 Degrés Pizza;Cote d'Azur;13;13001;14;4;0;non;non;wordpress 7.0.3;pas de @media
akumafoodfare.com;Akuma;Cote d'Azur;84;84932;14;4;0;non;non;—;pas de @media
yatai-france.fr;Yatai;Ile-de-France;95;95120;14;4;0;non;non;wordpress 7.0.2;pas de @media
bianbiannouilles.fr;Bian Bian Nouilles;Ile-de-France;75;75005;13;5;3;non;non;—;balises <font> (1) | pas de variables CSS
chezpetithugo.com;Chez Petit Hugo;Ile-de-France;75;75012;13;5;3;non;non;—;balises <font> (7) | <br> en masse
noodleshop.fr;Noodle Shop;Ile-de-France;91;91400;13;4;3;non;non;—;balises <font> (1) | pas de variables CSS
albacha.fr;Al Bacha;Ile-de-France;75;75014;11;5;0;non;non;wordpress 6.8.5;pas de flex/grid | pas de variables CSS | aucun radius/ombre
brasserie-lespetitsprinces.com;Les Petits Princes;Normandie;14;14800;11;5;0;non;non;wordpress 7.0.3;pas de flex/grid | pas de variables CSS | aucun radius/ombre
saveurs-hanoi.fr;Saveurs d’Hanoï;Cote d'Azur;84;84160;11;4;0;non;non;wordpress 7.0.3;<br> en masse | pas de flex/grid | pas de variables CSS
amoredafrancesca.fr;Amore da Francesca;Ile-de-France;75;75018;10;5;3;non;non;—;balises <font> (1)
delices-pizza78.fr;Délices Pizza;Ile-de-France;78;78270;10;5;3;non;non;—;<center> | pas de flex/grid
fusionsushi.fr;Fusion Sushi;Ile-de-France;75;75006;10;5;3;non;non;—;balises <font> (5)
lechansonnier.fr;Le Chansonnier;Ile-de-France;75;75010;10;5;3;non;non;—;balises <font> (1)
pizzajulia.fr;Pizza Julia;Ile-de-France;75;75012;10;5;3;non;non;—;balises <font> (18)
acontresens.fr;A Contre Sens;Normandie;14;14000;10;5;0;non;non;wordpress 6.5.8;balises <font> (1)
pizzashow.fr;Pizza Show Plus;Ile-de-France;78;78530;10;5;5;non;non;—;<center> | pas de flex/grid
sasesu.com;Sasésu;Normandie;14;14000;10;5;3;non;non;—;balises <font> (1)
africanevasion94100.fr;African Evasion;Ile-de-France;94;94500;10;4;3;non;non;—;<center> | pas de flex/grid
almaestro-pizza91.com;Al Maestro Pizza;Ile-de-France;91;91200;10;4;5;non;non;—;<center> | pas de flex/grid
sushifirst.fr;Sushi First;Normandie;76;76420;10;4;5;non;non;—;<center> | pas de flex/grid
le607.com;Le 607;Normandie;76;76530;10;4;5;non;non;—;<center> | pas de flex/grid
lestresorsduliban.fr;Les Trésors du Liban;Cote d'Azur;13;13009;10;4;0;non;non;—;<br> en masse | images .gif | police vintage
sushi-first.com;Sushi First;Normandie;76;76310;10;4;5;non;non;—;<center> | pas de flex/grid
sushistory.fr;Sushi Story;Ile-de-France;91;91610;10;4;3;non;non;—;<center> | pas de flex/grid
capricorniaries.com;Capricorn (i) Aries;Normandie;50;50678;8;5;0;non;non;—;pas de flex/grid | pas de variables CSS
chezchristineetjeanluc.eu;Chez Christine et Jean-Luc;Normandie;50;50001;8;5;0;non;non;—;pas de flex/grid | pas de variables CSS
restaurant-deuxmemes.fr;D'eux-mêmes;Normandie;76;76000;8;4;3;non;non;wordpress 4.9.5;WordPress 4
restaurant-la-vieille-gabelle-27.fr;Restaurant de la Vieille Gabelle;Normandie;27;27000;8;4;2;non;non;hd media;<br> en masse | pas de flex/grid
