domaine;nom;niche;ville;commune;dept;design;anciennete;non_responsif;sans_https;techno;signaux_design
garage-des-mines.fr;Garage des Mines;Automobile;Saint-Etienne;La Ricamarie (42150);42;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
garageabauto.site-solocal.com;AB Auto;Automobile;Nancy;Toul (54200);54;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
garagedelapaix.site-solocal.com;Garage de la Paix;Automobile;Paris;Le Perreux-sur-Marne (94170);75;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
ad69.fr;AutoDiscount 69;Automobile;Lyon;Saint-Bonnet-de-Mure (69720);69;42;3;oui;non;webdev;layout en tableaux (193) | non responsive | document.write | pas de flex/grid | police vintage
belr-automobiles.com;Bel'R Automobiles;Automobile;La Rochelle;;17;50;6;oui;non;lmsoft web creator pro, version:6.0.0.4;balises <font> (29) | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
sapah.fr;Sapah;Services de proximite;Paris;Villeneuve-Saint-Georges (94190);75;53;8;oui;oui;dreamweaver cs4, photoshop cs4, firework cs4;doctype ancien | non responsive | gif de mise en page | images .gif | document.write | pas de @media | pas de flex/grid | pas de variables CSS
cyclolivine.fr;Cyclolivine;Services de proximite;Grenoble;;38;49;8;oui;oui;—;<center> | doctype ancien | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
abaqueinformatique.com;@baque Informatique;Services de proximite;La Rochelle;L'Houmeau (17137);17;51;3;oui;non;—;doctype ancien | non responsive | images .gif | pas de @media | pas de flex/grid | pas de variables CSS | police vintage | aucun radius/ombre
coeur-de-poil.fr;Cœur de Poil;Services de proximite;Nancy;Champigneulles (54250);54;46;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS | CSS tres court (434B) | aucun radius/ombre
label-image-78.com;Label Im@ge 78;Services de proximite;Paris;Houilles (78800);75;44;5;oui;non;—;doctype ancien | non responsive | pas de @media | pas de flex/grid | pas de variables CSS | aucun radius/ombre
jpcycles.sitego.fr;JP Cycles;Services de proximite;Paris;;75;37;3;oui;non;—;non responsive | pas de @media | pas de flex/grid | pas de variables CSS
lypart-studio.com;Lypa'rt Studio;Services de proximite;Le Mans;;72;42;3;oui;non;webacappella 4.6.27  professional (osx) #22c4;doctype ancien | non responsive | document.write | pas de @media | pas de flex/grid
